                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.51114,                 1.0918,                 1.0298,                0.53782,                0.78067,                0.82281,                0.48188,                 1.7374,                 1.7628,                 2.6302,             0.00010893,             0.00010893,             0.00010893
                     59,                0.52681,                 1.0853,                 1.0333,                0.57144,                0.76716,                 0.8478,                0.48339,                 1.7758,                 1.7725,                 2.6797,             0.00010645,             0.00010645,             0.00010645
                     60,                0.50908,                 1.1295,                 1.0297,                0.55915,                0.83734,                0.86425,                0.52296,                 1.6724,                 1.6799,                 2.6114,             0.00010398,             0.00010398,             0.00010398
                     61,                0.51821,                 1.0733,                 1.0375,                0.55516,                0.80034,                0.81295,                0.45863,                 1.6152,                 1.7484,                 2.5291,              0.0001015,              0.0001015,              0.0001015
                     62,                0.51377,                 1.0932,                 1.0379,                0.59066,                0.78581,                0.84746,                 0.4984,                 1.6068,                 1.7259,                 2.5297,             9.9025e-05,             9.9025e-05,             9.9025e-05
                     63,                0.50402,                  1.071,                 1.0314,                0.60835,                0.71517,                0.83846,                0.47479,                 1.6952,                 1.8625,                 2.5501,              9.655e-05,              9.655e-05,              9.655e-05
                     64,                0.51039,                 1.0825,                 1.0559,                0.58418,                0.73967,                0.84023,                0.47919,                 1.8668,                  1.772,                 2.7252,             9.4075e-05,             9.4075e-05,             9.4075e-05
                     65,                0.49483,                 1.0128,                 1.0183,                0.68582,                0.71823,                0.86762,                0.50133,                 1.6985,                 1.7929,                 2.5135,               9.16e-05,               9.16e-05,               9.16e-05
                     66,                0.50992,                  1.062,                 1.0307,                0.61853,                0.72005,                0.87357,                0.51368,                 1.6592,                 1.7414,                 2.5015,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     67,                0.49012,                 1.0214,                 1.0302,                0.54851,                0.79228,                0.87201,                0.51812,                 1.6521,                 1.6416,                 2.4827,              8.665e-05,              8.665e-05,              8.665e-05
